added,channel_count,total_capacity,tor_nodes,clearnet_nodes,unannounced_nodes,clearnet_tor_nodes
1607904000000,29117,82085481332,2449,2631,864,459
1607990400000,29190,82452913822,2453,2637,863,459
1608076800000,29197,82406650437,2455,2634,857,457
1608163200000,29100,82403887726,2455,2629,858,457
1608249600000,28956,81882443744,2450,2627,854,457
1608336000000,28972,82193010344,2451,2630,853,457
1608422400000,28976,82163294107,2453,2633,855,459
1608508800000,29026,82317694273,2451,2644,853,460
1608595200000,28973,82207195431,2444,2648,852,458
1608681600000,28954,81996763920,2449,2654,851,457
1608768000000,28938,81981849770,2457,2658,850,456
1608854400000,28962,81771445386,2465,2665,853,457
1608940800000,28993,81615358438,2472,2666,859,456
1609027200000,28966,81564654371,2475,2617,862,454
1609113600000,28978,81489887365,2496,2650,859,456
1609200000000,29016,81460497264,2523,2661,860,456
1609286400000,29113,81105211865,2530,2711,860,456
1609372800000,29353,80209122308,2548,2725,883,457
1609459200000,29357,80129954976,2557,2723,884,459
1609545600000,29434,80245849163,2583,2722,890,460
1609632000000,29473,80202887440,2605,2706,891,460
1609718400000,29456,80598203914,2615,2705,890,462
1609804800000,29475,80590401468,2631,2703,892,463
1609891200000,29555,80740249141,2640,2699,893,467
1609977600000,29635,80706141320,2656,2702,898,468
1610064000000,29651,80818110635,2661,2704,903,470
1610150400000,29678,81366051024,2669,2704,901,471
1610236800000,29699,80977025858,2682,2706,900,472
1610323200000,29778,80849649634,2685,2716,899,473
1610409600000,29769,80836308805,2684,2729,899,472
1610496000000,29804,81592611476,2687,2731,902,474
1610582400000,29783,81592760279,2690,2728,901,475
1610668800000,29790,81550195307,2703,2727,901,475
1610755200000,29753,81408728446,2709,2730,901,477
1610841600000,29769,81339220838,2725,2728,908,479
1610928000000,29896,81248418444,2738,2728,917,479
1611014400000,29888,81093195901,2755,2730,918,483
1611100800000,29940,81336689864,2764,2728,920,485
1611187200000,29967,81235160954,2779,2729,920,484
1611273600000,29894,81070743398,2788,2727,920,484
1611360000000,29857,80921355721,2798,2725,918,486
1611446400000,29977,81238309376,2829,2724,918,487
1611532800000,30179,81384519345,2867,2721,917,486
1611619200000,30053,80598422208,2883,2708,917,486
1611705600000,30130,80653458190,2902,2709,919,487
1611792000000,30163,80364528658,2923,2709,917,487
1611878400000,30233,80599805808,2935,2703,912,488
1611964800000,30114,80157611196,2939,2698,911,487
1612051200000,30111,79917005106,2954,2696,908,488
1612137600000,30185,79545302368,2972,2695,905,489
1612224000000,30147,79248002283,2976,2690,905,488
1612310400000,30159,78806990458,2983,2691,920,486
1612396800000,30299,79010654656,3009,2687,982,486
1612483200000,30331,78958691356,3015,2687,979,485
1612569600000,30430,79326994135,3028,2685,1033,486
1612656000000,30472,79412405977,3046,2686,1035,486
1612742400000,30616,79431867994,3072,2686,1035,486
1612828800000,30709,79834814912,3089,2684,1037,485
1612915200000,30732,80093872345,3091,2687,1036,486
1613001600000,30748,80181893674,3094,2683,1037,487
1613088000000,30742,80090602227,3102,2677,1037,487
1613174400000,30749,80068206441,3106,2678,1040,489
1613260800000,30809,80062468090,3131,2680,1042,489
1613347200000,30908,80396209420,3154,2687,1042,491
1613433600000,30989,80673833824,3171,2690,1042,492
1613520000000,30989,80793310993,3186,2688,1040,491
1613606400000,31067,81010269702,3203,2691,1081,492
1613692800000,31091,81132987422,3214,2688,1125,492
1613779200000,31108,81357444466,3228,2686,1141,493
1613865600000,31283,81340117818,3250,2817,1140,493
1613952000000,31161,80181075187,3264,2821,1139,494
1614038400000,31139,80174642040,3277,2821,1138,495
1614124800000,31052,80060309798,3285,2823,1138,496
1614211200000,31074,80148990821,3297,2829,1137,496
1614297600000,31081,80202707119,3321,2833,1135,495
1614384000000,31177,80145940752,3342,2837,1161,496
1614470400000,31340,80848060578,3371,2838,1166,496
1614556800000,31430,81004387815,3387,2838,1167,498
1614643200000,31525,81288192522,3398,2840,1170,500
1614729600000,31568,81671280211,3418,2838,1167,500
1614816000000,31607,81968266607,3435,2830,1168,503
1614902400000,31507,82331408690,3442,2665,1169,507
1614988800000,31580,82678525089,3464,2667,1167,506
1615075200000,31808,83165643305,3501,2668,1167,506
1615161600000,31980,84065130115,3525,2667,1167,510
1615248000000,32094,84468723407,3536,2670,1165,511
1615334400000,32242,85716980305,3562,2664,1162,512
1615420800000,32249,86112352443,3562,2659,1162,511
1615507200000,32153,85967672370,3569,2655,1158,510
1615593600000,32178,86102551538,3583,2659,1159,510
1615680000000,32172,86124436718,3587,2656,1156,511
1615766400000,32330,86894127669,3626,2661,1155,513
1615852800000,32438,86959405544,3628,2763,1156,513
1615939200000,32553,86990658090,3648,2806,1158,514
1616025600000,32457,86955901685,3652,2807,1155,514
1616112000000,32407,86939379770,3667,2804,1154,515
1616198400000,32497,87219189133,3707,2807,1156,516
1616284800000,32701,87387372537,3756,2813,1156,518
1616371200000,32990,88182726910,3801,2816,1160,519
1616457600000,33084,88690073467,3823,2820,1163,519
1616544000000,33246,89119818983,3859,2821,1166,520
1616630400000,33515,89440940493,3893,2824,1306,519
1616716800000,33669,89227825309,3931,2822,1316,522
1616803200000,33707,89381241546,3943,2827,1315,524
1616889600000,33927,90143318048,4002,2827,1317,523
1616976000000,34126,90569147972,4041,2822,1318,525
1617062400000,34235,90926018746,4083,2815,1319,527
1617148800000,34318,91138467009,4102,2816,1319,529
1617235200000,34381,91110320185,4134,2823,1321,529
1617321600000,34477,91251773019,4158,2828,1323,532
1617408000000,34529,91327321704,4183,2827,1320,532
1617494400000,34668,91769936088,4221,2830,1321,532
1617580800000,34986,92456705568,4264,2826,1323,535
1617667200000,34947,92125142491,4287,2821,1315,532
1617753600000,34946,92417768691,4303,2814,1313,531
1617840000000,35125,93056670037,4343,2817,1310,532
1617926400000,35172,92390293650,4344,2807,1314,529
1618012800000,35258,92511609509,4381,2809,1317,530
1618099200000,35454,93226500244,4414,2806,1315,530
1618185600000,35684,93581856973,4454,2804,1316,533
1618272000000,35802,93940321885,4483,2806,1314,534
1618358400000,35807,93901972036,4498,2803,1315,535
1618444800000,35746,93600660577,4499,2800,1308,538
1618531200000,35742,93545042351,4511,2746,1307,539
1618617600000,35697,93555686372,4511,2757,1311,540
1618704000000,35605,93378932513,4510,2756,1307,539
1618790400000,35517,93165492014,4506,2758,1303,541
1618876800000,35448,93066460865,4510,2752,1300,542
1618963200000,35396,93163817126,4519,2753,1298,542
1619049600000,35325,92991994558,4522,2755,1296,542
1619136000000,35201,92790030320,4518,2755,1294,540
1619222400000,35140,92742910957,4540,2753,1295,541
1619308800000,35183,93078462333,4580,2753,1296,546
1619395200000,35230,93523077434,4620,2739,1296,547
1619481600000,35121,93061922318,4622,2733,1294,547
1619568000000,35101,93686799211,4658,2731,1294,549
1619654400000,35168,94027708538,4675,2722,1292,554
1619740800000,35239,94530277293,4702,2720,1292,555
1619827200000,35388,94932976665,4727,2719,1292,556
1619913600000,35632,95439653393,4770,2721,1295,556
1620000000000,36134,97045246978,4822,2727,1295,558
1620086400000,36397,97436319747,4869,2727,1291,559
1620172800000,36657,98012275998,4898,2729,1290,559
1620259200000,36822,98540239299,4933,2727,1292,559
1620345600000,37058,99719445670,4985,2720,1272,559
1620432000000,37321,100335456328,5028,2714,1267,559
1620518400000,37532,101043081972,5054,2715,1264,560
1620604800000,37809,101495730563,5071,2716,1264,560
1620691200000,38128,102509539838,5111,2711,1263,562
1620777600000,38532,103595896311,5158,2707,1264,561
1620864000000,38825,104465694151,5182,2685,1266,560
1620950400000,38953,105186513122,5204,2683,1265,563
1621036800000,39079,105431511150,5212,2685,1266,564
1621123200000,39230,105756893317,5239,2688,1267,565
1621209600000,39430,106745754358,5259,2677,1264,565
1621296000000,39325,106262541168,5278,2662,1263,566
1621382400000,39209,106162122724,5276,2660,1261,567
1621468800000,39053,105970572841,5268,2661,1259,568
1621555200000,38955,105606191188,5271,2656,1259,565
1621641600000,38911,105603941777,5270,2659,1260,566
1621728000000,38930,105796450305,5288,2658,1259,566
1621814400000,38948,106084279863,5301,2659,1261,567
1621900800000,39025,106361590787,5319,2657,1259,565
1621987200000,39034,106645664949,5358,2653,1257,568
1622073600000,39115,107180488461,5379,2653,1257,569
1622160000000,39194,107985555993,5397,2651,1258,569
1622246400000,39363,108866444544,5421,2654,1257,568
1622332800000,39592,109681415221,5449,2654,1258,568
1622419200000,40001,110897436813,5489,2654,1262,567
1622505600000,40206,111557962338,5513,2649,1263,571
1622592000000,40422,111967192191,5533,2646,1264,572
1622678400000,40805,113085503741,5572,2644,1265,576
1622764800000,41039,113663665007,5593,2648,1263,577
1622851200000,41219,114483526590,5624,2650,1264,581
1622937600000,41453,115692729040,5637,2652,1265,581
1623024000000,41691,116161065858,5661,2647,1266,580
1623110400000,41821,116696868336,5685,2645,1264,581
1623196800000,42025,118020798683,5711,2645,1266,581
1623283200000,42166,118349447042,5728,2646,1266,582
1623369600000,42191,118211732059,5753,2642,1269,582
1623456000000,42198,117905799328,5778,2639,1267,582
1623542400000,42449,118945710877,5835,2638,1267,582
1623628800000,42774,122149880866,5895,2645,1265,582
1623715200000,42838,122371228734,5921,2645,1263,582
1623801600000,42979,123243979951,5955,2636,1248,583
1623888000000,43157,124189390285,5975,2636,1252,582
1623974400000,43352,125361527979,6008,2629,1252,584
1624060800000,43572,126708138516,6052,2630,1254,580
1624147200000,43866,128545443122,6104,2637,1257,580
1624233600000,43932,128924321724,6130,2636,1257,581
1624320000000,43957,129118881892,6147,2633,1258,580
1624406400000,43933,129420545229,6165,2633,1260,580
1624492800000,44015,129423283419,6189,2631,1261,580
1624579200000,44103,130026277945,6220,2629,1260,580
1624665600000,44255,130923763901,6243,2628,1260,584
1624752000000,44429,131562825478,6272,2628,1259,584
1624838400000,44467,131578302860,6289,2627,1258,586
1624924800000,44596,131615029383,6319,2628,1263,586
1625011200000,44743,132039029044,6338,2640,1277,586
1625097600000,44812,132191698654,6357,2641,1277,587
1625184000000,44850,132318150171,6385,2642,1278,586
1625270400000,44816,132281631931,6398,2642,1278,587
1625356800000,45158,132995129037,6438,2643,1280,590
1625443200000,45513,134277403286,6477,2643,1282,589
1625529600000,46242,137538030673,6538,2632,1282,595
1625616000000,46741,139545874538,6587,2636,1279,596
1625702400000,47046,141280890781,6614,2635,1278,596
1625788800000,47478,144511976126,6642,2634,1279,595
1625875200000,47760,145701054626,6658,2635,1279,600
1625961600000,48172,147380200580,6701,2634,1281,600
1626048000000,48620,149781232783,6735,2634,1282,603
1626134400000,48875,150527634595,6757,2633,1283,604
1626220800000,49241,151650632535,6786,2630,1281,604
1626307200000,49784,153365209946,6838,2635,1283,606
1626393600000,50073,154351185432,6877,2636,1281,606
1626480000000,50431,155485740071,6915,2638,1283,607
1626566400000,50817,156428798703,7002,2637,1281,608
1626652800000,51076,156946872907,7082,2636,1281,610
1626739200000,50998,157523497070,7108,2613,1204,613
1626825600000,51229,158764176187,7144,2611,1203,614
1626912000000,51526,159913490026,7202,2609,1205,613
1626998400000,51882,163438621840,7229,2606,1159,615
1627084800000,52257,166505237294,7272,2610,1162,617
1627171200000,52630,167471414428,7310,2611,1161,619
1627257600000,53042,168560463839,7348,2610,1160,624
1627344000000,53346,169407072053,7397,2606,1161,628
1627430400000,53977,170422430204,7542,2605,1165,631
1627516800000,54352,172748899587,7574,2607,1164,632
1627603200000,54699,175205827942,7610,2611,1172,634
1627689600000,54992,176533724630,7643,2610,1169,637
1627776000000,55344,178715820230,7673,2609,1169,640
1627862400000,55817,180617077851,7709,2611,1172,642
1627948800000,56132,182571679433,7730,2599,1172,641
1628035200000,56498,183774714704,7761,2604,1172,647
1628121600000,56726,185028301993,7787,2606,1171,646
1628208000000,57042,185869449333,7816,2609,1174,648
1628294400000,57362,186635893018,7884,2606,1175,651
1628380800000,57627,187615447400,7972,2606,1174,653
1628467200000,58003,188696382376,8016,2607,1173,650
1628553600000,58286,189589322293,8054,2608,1173,653
1628640000000,58527,190682335482,8106,2603,1171,653
1628726400000,58774,191346476459,8169,2602,1170,653
1628812800000,58963,191874054847,8237,2598,1170,651
1628899200000,59079,192256622340,8299,2600,1171,651
1628985600000,59197,193296895301,8336,2588,1144,652
1629072000000,59515,194070090247,8363,2588,1146,655
1629158400000,59870,195606499936,8427,2591,1148,656
1629244800000,60068,196198538602,8485,2591,1150,655
1629331200000,60220,196795264507,8572,2590,1150,659
1629417600000,60467,197581289547,8648,2589,1151,661
1629504000000,60553,197965818750,8667,2597,1151,660
1629590400000,60717,197850756291,8703,2601,1153,661
1629676800000,60869,198291672762,8742,2598,1155,662
1629763200000,61034,198921357826,8773,2594,1154,664
1629849600000,61276,200017637696,8836,2595,1157,664
1629936000000,61595,200572712046,8929,2600,1159,666
1630022400000,61878,201976036020,8993,2600,1162,668
1630108800000,62031,202433174891,9029,2601,1162,670
1630195200000,62197,202564130439,9064,2603,1163,668
1630281600000,62385,202707589825,9105,2602,1166,668
1630368000000,62378,202773483894,9120,2601,1165,667
1630454400000,62564,203120297584,9155,2607,1170,670
1630540800000,62748,203522117328,9176,2608,1174,669
1630627200000,62970,203792020241,9217,2612,1175,672
1630713600000,63240,204248577681,9252,2612,1177,674
1630800000000,63469,205124642135,9279,2614,1179,676
1630886400000,63634,205463596247,9312,2613,1184,675
1630972800000,63587,205456596231,9308,2612,1190,674
1631059200000,63317,204770250509,9292,2608,1188,671
1631145600000,64494,210672154781,8445,2528,2073,807
1631232000000,65182,212664961127,8538,2582,2147,816
1631318400000,65503,213239689551,8578,2583,2146,818
1631404800000,65861,215860327119,8596,2582,2144,819
1631491200000,66077,217103720017,8631,2580,2159,819
1631577600000,66353,217222659579,8667,2582,2193,821
1631664000000,66691,219286447805,8696,2579,2193,821
1631750400000,66834,219791717685,8734,2581,2207,826
1631836800000,66969,235866154690,8762,2583,2221,829
1631923200000,67293,237939616829,8792,2586,2226,832
1632009600000,67633,238787698019,8842,2587,2225,833
1632096000000,67526,238464458325,8828,2586,2221,832
1632182400000,67121,236839080505,8814,2583,2218,831
1632268800000,66715,235977317819,8774,2580,2216,830
1632355200000,66462,234653320137,8758,2579,2216,829
1632441600000,65637,233314240246,8669,2509,2126,820
1632528000000,65322,232430893620,8650,2508,2128,819
1632614400000,64900,231514553154,8622,2496,2110,819
1632700800000,64444,230353091364,8599,2490,2107,818
1632787200000,63107,224788745444,8544,2481,2096,816
1632873600000,60280,214797175160,8412,2377,2083,810
1633564800000,58179,238547313072,8579,2126,1810,815
1633651200000,64908,258507615682,8845,2437,2003,835
1633737600000,64885,258462793089,8842,2437,2003,835
1633824000000,64850,258414357019,8837,2436,2003,835
1633910400000,64811,258355598258,8834,2435,2003,835
1633996800000,64746,258248888874,8827,2434,2002,835
1634083200000,64669,258043147268,8820,2431,2002,834
1634169600000,64443,257369490713,8800,2427,1989,834
1645401600000,65999,245153511900,10593,2383,3725,981
1645488000000,75056,281603489002,10862,2407,3898,996
1645574400000,80073,301294286539,10975,2411,4159,1003
1645660800000,80436,303002629026,10992,2413,4160,1008
1645747200000,80852,303869196256,11001,2412,4409,1009
1645833600000,81107,304845775204,11015,2415,4411,1011
1645920000000,81451,306155816483,11046,2415,4410,1011
1646006400000,81685,306963896103,11066,2415,4412,1013
1646092800000,81838,306604215662,11071,2415,4412,1014
1646179200000,81835,305947766772,11085,2409,4413,1014
1646265600000,81711,305931991982,11099,2370,4414,1016
1646352000000,81890,306739025524,11111,2370,4415,1017
1646438400000,82072,307097873811,11135,2370,4416,1018
1646524800000,82304,307808605988,11166,2372,4415,1020
1646611200000,82530,308425411156,11176,2372,4416,1021
1646697600000,82757,309846871970,11187,2372,4417,1020
1646784000000,82774,310861977497,11188,2368,4416,1021
1646870400000,82344,308230045285,11163,2392,4415,1023
1646956800000,82339,308109777513,11174,2398,4417,1020
1647043200000,82303,308063406579,11191,2400,4415,1021
1647129600000,82304,308477798463,11188,2398,4413,1020
1647216000000,82407,308741128121,11201,2405,4414,1018
1647302400000,82269,308035646187,11198,2403,4413,1018
1647388800000,82276,308586364251,11210,2404,4421,1024
1647475200000,82313,309555068669,11212,2405,4441,1028
1647561600000,82326,310676863151,11220,2405,4470,1031
1647648000000,82377,311346596618,11218,2404,4486,1035
1647734400000,82577,312352632094,11231,2406,4487,1037
1647820800000,82575,312620326631,11232,2404,4485,1037
1647907200000,82524,312619147508,11240,2405,4471,1038
1647993600000,82421,312522650123,11240,2406,4460,1039
1648080000000,82492,313107700653,11257,2403,4450,1039
1648166400000,82545,313520832879,11264,2408,4443,1038
1648252800000,82705,315012806642,11270,2409,4441,1038
1648339200000,82758,315522723343,11271,2407,4440,1037
1648425600000,82825,316255682643,11283,2397,4437,1038
1648512000000,82788,316704576266,11299,2398,4437,1039
1648598400000,82734,316745662535,11291,2400,4441,1043
1648684800000,82646,317319075430,11283,2397,4431,1044
1648771200000,82552,317491970344,11276,2398,4430,1044
1648857600000,82462,318243170495,11259,2398,4428,1044
1648944000000,82432,320041327327,11241,2387,4426,1043
1649030400000,82002,319955867188,11224,2386,4426,1046
1649116800000,82049,320464763078,11240,2403,4425,1047
1649203200000,81846,319929316296,11227,2401,4422,1045
1649289600000,81901,321080825058,11241,2401,4411,1048
